time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,ri_flux,change_during_glaciations
3153600000000.0,1.4072119993731143e-07,2.0030297072041987e-05,3.988377157584105e-14,0.006862334142982634,6271568192595.281,47430968651674.97,290.0,2000000000000.0,21999999999.999992,True
6307200000000.0,1.4072116405653717e-07,2.003030281274561e-05,3.9883765266762586e-14,0.006862334142980525,6271571396181.411,47431075454890.195,290.0,2000000000000.0,21999999999.999992,True
9460800000000.002,1.4072121965026598e-07,2.003028873022987e-05,3.9883784630197744e-14,0.006862334142984555,6271567993394.187,47430905203580.27,290.0,2000000000000.0,21999999999.999992,True
12614400000000.0,1.407211926010414e-07,2.003029579078942e-05,3.9883774781288874e-14,0.0068623341429825515,6271569641944.427,47430988170998.43,290.0,2000000000000.0,21999999999.999992,True
15768000000000.0,1.4072100966543696e-07,2.0030343387705233e-05,3.9883709168309265e-14,0.006862334142969236,6271579894985.363,47431550439302.375,290.0,2000000000000.0,21999999999.999992,True
18921600000000.004,1.4072194067150178e-07,2.0030100344520097e-05,3.988404406630311e-14,0.006862334143036991,6271528782572.342,47428685621998.1,290.0,2000000000000.0,21999999999.999992,True
22075200000000.004,1.4072128340899105e-07,2.003027404644041e-05,3.988380388327827e-14,0.006862334142988891,6271563967941.081,47430712069558.13,290.0,2000000000000.0,21999999999.999992,True
25228800000000.0,1.407212066361347e-07,2.0030292111422334e-05,3.988377985248387e-14,0.006862334142983576,6271568882355.794,47430945041615.51,290.0,2000000000000.0,21999999999.999992,True
28382400000000.0,1.4072146410366052e-07,2.0030224293425643e-05,3.988387373169109e-14,0.006862334143002434,6271554725028.534,47430151415797.15,290.0,2000000000000.0,21999999999.999992,True
31536000000000.0,1.407210715872192e-07,2.003032497083145e-05,3.988373360659185e-14,0.0068623341429735465,6271579855916.625,47431352967797.89,290.0,2000000000000.0,21999999999.999992,True
34689600000000.004,1.407208638583139e-07,2.0030368447862518e-05,3.9883674869289286e-14,0.006862334142958984,6271599784018.834,47431974816356.734,290.0,2000000000000.0,21999999999.999992,True
37843200000000.01,1.4072120728649411e-07,2.0030291861533347e-05,3.988378032760089e-14,0.006862334142983656,6271568747946.321,47430942950750.34,290.0,2000000000000.0,21999999999.999992,True
