time,O2,CH4,OH,H2O,O3_col,S8AER_col,T_time,O2_flux,type
31536000000000.0,3.099310915117706e-08,0.000300917054623957,2.8619833551357415e-15,0.00027622359983869177,4121146405241.4473,226563867868024.3,250.0,1000000000000.0,steady state
31536000000000.0,2.8466376903370808e-08,0.00032236775093187197,2.404198858376122e-15,0.0007086637490137895,1977498431746.6772,321149737588464.7,260.0,1000000000000.0,steady state
31536000000000.0,2.5787157232701816e-08,0.0003056756215178167,2.4316513677578945e-15,0.001695558472714935,1049594482891.0596,462592825999013.0,270.0,1000000000000.0,steady state
31536000000000.0,2.4025064182256485e-08,0.00016107457921929932,4.789097690434566e-15,0.0035676672072954586,1118661133732.9814,433781395913205.6,280.0,1000000000000.0,steady state
31536000000000.0,2.3790597360945427e-08,0.00022632807408425477,2.887843119723842e-15,0.0068622499386770345,568468564061.5167,489215286389445.1,290.0,1000000000000.0,steady state
31536000000000.0,2.5555635043582658e-08,6.543219596264068e-05,9.3977782378685e-15,0.012541836018089381,1426993269151.5698,546132870404513.5,300.0,1000000000000.0,steady state
31536000000000.0,2.9602365671350727e-08,2.1675509646726675e-05,2.4070726831041014e-14,0.021782322179088917,1506394325686.4749,460842505219534.7,310.0,1000000000000.0,steady state
31536000000000.0,3.174313708075132e-08,1.2359522984755444e-05,3.5953885979430144e-14,0.03594191477348173,1137403507520.9204,309015625249091.94,320.0,1000000000000.0,steady state
31536000000000.0,3.142852672499827e-08,8.764199463869486e-06,4.3565560944754854e-14,0.05625206595168824,992954682995.5208,216351992976631.47,330.0,1000000000000.0,steady state
31536000000000.0,3.244360675397275e-08,5.718686381413778e-06,5.1038603018549416e-14,0.0833096876238943,1137105078174.4185,75386685220406.98,340.0,1000000000000.0,steady state
31536000000000.0,4.9658663080075606e-08,2.0448102788190966e-06,7.079964856658085e-14,0.11638270873539151,2741622215827.0957,44798422177.5846,350.0,1000000000000.0,steady state
31536000000000.0,3.2820759800483146e-08,0.00029566079991239695,3.1417975214790112e-15,0.00027622393004892066,4430834673313.663,190512343458045.06,250.0,1050000000000.0,steady state
31536000000000.0,3.025225740982909e-08,0.0003158820111769355,2.638300716109858e-15,0.0007086646743982455,2170313180835.9883,293871337479011.06,260.0,1050000000000.0,steady state
31536000000000.0,2.7591901875486294e-08,0.0002970081788149724,2.6756174701586975e-15,0.0016955607114826502,1178550545408.9631,441553341350325.4,270.0,1050000000000.0,steady state
31536000000000.0,2.5956696246710794e-08,0.00014466149756645156,5.650374067267434e-15,0.0035676715378163116,1326962448566.181,412303755855897.44,280.0,1050000000000.0,steady state
31536000000000.0,2.554749895691492e-08,0.0002202288786379145,3.138180612921619e-15,0.006862255717552816,635743173666.9918,487291666111698.44,290.0,1050000000000.0,steady state
31536000000000.0,2.812561773605382e-08,5.671695521957741e-05,1.1232300914196354e-14,0.012541842844711784,1674427296820.397,535802945434643.4,300.0,1050000000000.0,steady state
31536000000000.0,3.268194704972091e-08,2.1199292134752117e-05,2.519348551231861e-14,0.02178232308510987,1613692867405.7017,448320100300482.5,310.0,1050000000000.0,steady state
31536000000000.0,3.556445348817587e-08,1.1991122863286618e-05,3.7398327046096584e-14,0.03594191561435436,1276201639781.4287,288691083713290.75,320.0,1050000000000.0,steady state
31536000000000.0,3.555015789643781e-08,8.418671253363758e-06,4.524001913309472e-14,0.05625206684566443,1157867690260.7002,190672229764686.7,330.0,1050000000000.0,steady state
31536000000000.0,3.7399766768428894e-08,5.343008624786648e-06,5.338142171333786e-14,0.08330968871388597,1379803427202.6763,53192288021748.53,340.0,1050000000000.0,steady state
31536000000000.0,0.00205383470577199,4.6808047625587e-08,2.6086798653533224e-12,0.11638351613319316,1.5389473498906808e+16,2.341204413231112e-52,350.0,1050000000000.0,steady state
31536000000000.0,3.464962814628962e-08,0.0002883453641482434,3.4647089068825073e-15,0.0002762242757697582,4744880298125.918,156763324245208.66,250.0,1100000000000.0,steady state
31536000000000.0,3.2094948171776515e-08,0.0003075659716563417,2.9009312467414382e-15,0.0007086656086596192,2380144853935.9897,266789224337939.3,260.0,1100000000000.0,steady state
31536000000000.0,2.943059612206817e-08,0.0002850188852222763,2.974243713152382e-15,0.0016955631282377743,1323920120150.7483,418105680878634.7,270.0,1100000000000.0,steady state
31536000000000.0,2.8046739812216706e-08,0.0001280005164696349,6.729136008041178e-15,0.0035676755065970514,1575615908394.9084,388084139834348.1,280.0,1100000000000.0,steady state
31536000000000.0,2.7366212441580285e-08,0.00021158047384924573,3.445381176422739e-15,0.0068622620584133705,715727411976.2733,485236725860817.3,290.0,1100000000000.0,steady state
31536000000000.0,3.0746999810870166e-08,5.206349206454957e-05,1.2634543849406696e-14,0.012541846581892476,1863484972339.3984,526606102624595.0,300.0,1100000000000.0,steady state
31536000000000.0,3.60483361183102e-08,2.0755250209653483e-05,2.6246814415324385e-14,0.021782323899854704,1729756715629.7776,436116246959397.6,310.0,1100000000000.0,steady state
31536000000000.0,3.975217368236615e-08,1.1605018567266517e-05,3.881417966503534e-14,0.03594191643040301,1425476458065.6482,267116442015630.62,320.0,1100000000000.0,steady state
31536000000000.0,4.013357564178707e-08,8.049118796890433e-06,4.696972549255063e-14,0.056252067743451414,1341045460000.8125,163632114366844.1,330.0,1100000000000.0,steady state
31536000000000.0,4.32914196994821e-08,4.918720957802526e-06,5.618249221190309e-14,0.0833096899024855,1667911761128.4055,32299084895578.86,340.0,1100000000000.0,steady state
31536000000000.0,0.002745425553772558,4.6799464197616575e-08,2.857772982784762e-12,0.11638378609135074,1.9737345065561484e+16,-2.011783276917717e-52,350.0,1100000000000.0,steady state
31536000000000.0,3.651267162739159e-08,0.0002792236831348579,3.8348202300647444e-15,0.0002762246299200251,5071354600006.6875,126326915063307.23,250.0,1150000000000.0002,steady state
31536000000000.0,3.3960200398853004e-08,0.00029676814935733215,3.2111286617022147e-15,0.0007086665888506966,2604212874931.2075,238667743047482.7,260.0,1150000000000.0002,steady state
31536000000000.0,3.133906729090989e-08,0.00026997463123712564,3.3395565240900884e-15,0.0016955656670258727,1491009282261.9739,392293233397462.56,270.0,1150000000000.0002,steady state
31536000000000.0,3.034408045441084e-08,0.00011378248383022247,7.917642407704826e-15,0.0035676786761321094,1845696960499.781,363728859292273.7,280.0,1150000000000.0002,steady state
31536000000000.0,2.927383000278179e-08,0.00020074070019491218,3.818240532638035e-15,0.006862268743781533,810991072329.3309,482959828052194.3,290.0,1150000000000.0002,steady state
31536000000000.0,3.346936473493999e-08,4.935306123337572e-05,1.3731065346022307e-14,0.012541848890242974,2021227590453.5142,518980773726854.8,300.0,1150000000000.0002,steady state
31536000000000.0,3.970938814073304e-08,2.0259680729436033e-05,2.730277142796011e-14,0.021782324708943923,1853389119565.5864,422759564665596.0,310.0,1150000000000.0002,steady state
31536000000000.0,4.42588966279668e-08,1.1217810492682975e-05,4.0216783799034576e-14,0.03594191721377878,1578484528110.0037,244409695726529.34,320.0,1150000000000.0002,steady state
31536000000000.0,4.517964460795884e-08,7.66597587594832e-06,4.881833649214558e-14,0.05625206864302104,1536908447828.9304,135765340451432.84,330.0,1150000000000.0002,steady state
31536000000000.0,5.082910463697285e-08,4.447133493518119e-06,5.961100168244265e-14,0.08330969117697014,2039276104979.5132,15382754808125.914,340.0,1150000000000.0002,steady state
31536000000000.0,0.0034345160302417157,4.8674489596443646e-08,2.868109341408225e-12,0.11638405507152344,2.380014820238298e+16,-1.5266874013787045e-52,350.0,1150000000000.0002,steady state
31536000000000.0,3.842634927650911e-08,0.00026832176140262657,4.263154143336372e-15,0.0002762249914871144,5412895484427.725,99336016413798.31,250.0,1200000000000.0002,steady state
31536000000000.0,3.588285277416747e-08,0.00028380467447333685,3.575347297955772e-15,0.0007086675931965118,2847613487850.6924,210251791254894.22,260.0,1200000000000.0002,steady state
31536000000000.0,3.334036778349318e-08,0.00025180850134912103,3.797031943349258e-15,0.0016955683174324245,1686088236423.166,363481851250890.2,270.0,1200000000000.0002,steady state
31536000000000.0,3.285852756504309e-08,0.00010171808634265391,9.209597592294682e-15,0.003567681216346647,2132341822965.8206,339547710788691.56,280.0,1200000000000.0002,steady state
31536000000000.0,3.130172895183905e-08,0.00018848415015912786,4.258963537458814e-15,0.006862275430780176,923041938274.5558,480354157634931.44,290.0,1200000000000.0002,steady state
31536000000000.0,3.635971078118536e-08,4.734783633364279e-05,1.4706708843779922e-14,0.012541850635457109,2170194368455.28,512067115312225.2,300.0,1200000000000.0002,steady state
31536000000000.0,4.363066888134742e-08,1.9718697191846518e-05,2.83730942888026e-14,0.02178232551464973,1980800938440.6172,407852007871093.94,310.0,1200000000000.0002,steady state
31536000000000.0,4.908249419530105e-08,1.0866637752784089e-05,4.1582574957611356e-14,0.035941917926237445,1731208186600.6396,222007418554417.2,320.0,1200000000000.0002,steady state
31536000000000.0,5.08271419113955e-08,7.291333415300704e-06,5.077787081960422e-14,0.05625206950996356,1748806690995.3508,108807734221510.1,330.0,1200000000000.0002,steady state
31536000000000.0,6.253552421807972e-08,3.7227463909364977e-06,6.533856442602804e-14,0.08330969298681581,2641698129844.4897,3181655562121.6064,340.0,1200000000000.0002,steady state
31536000000000.0,0.004130877599318048,5.1683896371158186e-08,2.743129207750535e-12,0.11638432688924091,2.7686287053222412e+16,-3.2830870551246535e-52,350.0,1200000000000.0002,steady state
31536000000000.0,4.041293211550962e-08,0.00025571091741226565,4.763402772125643e-15,0.0002762253585224772,5772718243040.611,75849017965860.12,250.0,1250000000000.0002,steady state
31536000000000.0,3.788106205988502e-08,0.00026871852981856005,4.008669520951753e-15,0.0007086686172008134,3113548470600.9663,181676163460137.03,260.0,1250000000000.0002,steady state
31536000000000.0,3.549012771492535e-08,0.0002313333835510058,4.365551819889443e-15,0.0016955709799651526,1916497801672.3618,331885459202296.7,270.0,1250000000000.0002,steady state
31536000000000.0,3.5640916678320066e-08,9.212825799008913e-05,1.0505221342285522e-14,0.003567683159107767,2424033887083.192,316693837257092.7,280.0,1250000000000.0002,steady state
31536000000000.0,3.346888606785068e-08,0.0001733065933823958,4.837558157663858e-15,0.0068622826794123215,1063580968475.8765,477213404374374.94,290.0,1250000000000.0002,steady state
31536000000000.0,3.9466675498503425e-08,4.562488148950304e-05,1.562803888312906e-14,0.012541852116111257,2320020692601.5703,505241053511174.44,300.0,1250000000000.0002,steady state
31536000000000.0,4.775060610547544e-08,1.9196325804929124e-05,2.9425271040433735e-14,0.02178232626778909,2106932532136.7173,392105057788927.4,310.0,1250000000000.0002,steady state
31536000000000.0,5.435704517592378e-08,1.0554548555903913e-05,4.2899904266832684e-14,0.035941918565585734,1889723587649.8315,200800843431408.94,320.0,1250000000000.0002,steady state
31536000000000.0,5.743690766638972e-08,6.889226465907118e-06,5.2934560375871327e-14,0.056252070391651095,1997906730543.7144,82218130542699.5,330.0,1250000000000.0002,steady state
31536000000000.0,1.0126774764743006e-07,2.0701457485526926e-06,8.547986635811495e-14,0.08330969679541005,4762299138702.294,1967421432.0988562,340.0,1250000000000.0002,steady state
31536000000000.0,0.004835554931818814,5.556557825971428e-08,2.5454905027862704e-12,0.11638460195278232,3.143320284379849e+16,-3.2886404691365045e-52,350.0,1250000000000.0002,steady state
31536000000000.0,4.2525250726585774e-08,0.0002420460381479371,5.336270506991929e-15,0.00027622571779317977,6160556262658.228,56319644104814.39,250.0,1300000000000.0002,steady state
31536000000000.0,3.7799078078652414e-08,0.00020770620582931254,5.122242564294663e-15,0.0016955737312689732,2193218534778.588,295300430167624.9,270.0,1300000000000.0002,steady state
31536000000000.0,3.8737925883149345e-08,8.330045986197044e-05,1.1937663330190284e-14,0.0035676848521138415,2740510325674.897,293079695138227.1,280.0,1300000000000.0002,steady state
31536000000000.0,3.58274566179252e-08,0.0001574492595873488,5.5362127472090294e-15,0.006862289623226816,1230799841008.909,473324118622245.25,290.0,1300000000000.0002,steady state
31536000000000.0,4.2835859553459724e-08,4.379127755022241e-05,1.660512525804534e-14,0.0125418535705735,2478995569526.2803,497540797657103.3,300.0,1300000000000.0002,steady state
31536000000000.0,5.205831741981213e-08,1.8747411930365634e-05,3.0417567332431306e-14,0.021782326927649875,2230997535909.0566,378958309808722.4,310.0,1300000000000.0002,steady state
31536000000000.0,6.027935893883195e-08,1.0221125650138302e-05,4.4251964285375135e-14,0.03594191920189296,2065060557720.2212,179068263566563.53,320.0,1300000000000.0002,steady state
31536000000000.0,6.540693129201381e-08,6.375517279190053e-06,5.566826572626558e-14,0.056252071430157494,2301800189285.5757,53670515907448.88,330.0,1300000000000.0002,steady state
31536000000000.0,0.0027735990842156174,7.23782265743321e-08,2.3462557822597475e-12,0.08331049838579103,3.5290100489264028e+16,2.1358838467510842e-52,340.0,1300000000000.0002,steady state
31536000000000.0,0.0055469473048314405,6.021740869641127e-08,2.3146310161402365e-12,0.11638487963754005,3.5055069027814556e+16,1.877724439719236e-52,350.0,1300000000000.0002,steady state
31536000000000.0,4.476037760165326e-08,0.0002265624570687333,6.028630786674983e-15,0.0002762260848241315,6569887642213.065,39719280818765.16,250.0,1350000000000.0002,steady state
31536000000000.0,4.2234719137830327e-08,0.00023348723502785736,5.146208330246908e-15,0.0007086706567241512,3728417079335.441,125760911885845.25,260.0,1350000000000.0002,steady state
31536000000000.0,4.0368925828834406e-08,0.0001836326246267275,6.069255178929424e-15,0.001695576303030002,2519412086948.1123,255994890469382.78,270.0,1350000000000.0002,steady state
31536000000000.0,4.220521391212929e-08,7.538587576198491e-05,1.3461778437313779e-14,0.003567686300510314,3076435620234.497,268634457537900.22,280.0,1350000000000.0002,steady state
31536000000000.0,3.84212689586324e-08,0.00014119231527489915,6.390050666297458e-15,0.006862296205800566,1429983999151.3442,468414516132636.2,290.0,1350000000000.0002,steady state
31536000000000.0,4.646613236728683e-08,4.1862370559401604e-05,1.7643335539307188e-14,0.012541854999935898,2645280653295.315,488636683524240.8,300.0,1350000000000.0002,steady state
31536000000000.0,5.6532035794220894e-08,1.842175074484653e-05,3.1310769406774354e-14,0.02178232746139233,2351122672296.9585,362909571210304.9,310.0,1350000000000.0002,steady state
31536000000000.0,6.687926833309923e-08,9.821543421547681e-06,4.5743004289163526e-14,0.035941919891971805,2255560318150.6694,154642806891529.44,320.0,1350000000000.0002,steady state
31536000000000.0,7.53793771097009e-08,5.7288004206760275e-06,5.94855737497977e-14,0.05625207268167461,2671656668436.5156,26123186234320.324,330.0,1350000000000.0002,steady state
31536000000000.0,0.003553290576468437,7.644217120080839e-08,2.2443557207846277e-12,0.0833107226435551,4.578827240947838e+16,3.0078775627976517e-52,340.0,1350000000000.0002,steady state
31536000000000.0,0.00626408981188673,6.559047148722982e-08,2.0762490866649257e-12,0.11638515956696793,3.856572591704172e+16,-2.8609486259485937e-52,350.0,1350000000000.0002,steady state
31536000000000.0,4.7200125198725896e-08,0.00021001589860028826,6.84957615644345e-15,0.0002762264450386412,7013376043396.837,26496284793939.56,250.0,1400000000000.0002,steady state
31536000000000.0,4.46483850132004e-08,0.00021371281457467547,5.908420726793212e-15,0.0007086716568086831,4081447825878.599,98850357542375.3,260.0,1400000000000.0002,steady state
31536000000000.0,4.3233985482687714e-08,0.0001596246808381458,7.274911790694888e-15,0.0016955786726663101,2897295519311.5747,214048413948625.8,270.0,1400000000000.0002,steady state
31536000000000.0,4.601957075838707e-08,6.81533498155617e-05,1.5106140538830664e-14,0.003567687565413438,3425668028922.888,242886972405474.6,280.0,1400000000000.0002,steady state
31536000000000.0,4.13099516492115e-08,0.00012491079953318182,7.440770176536796e-15,0.006862302348226798,1666826119155.6685,462166604982445.4,290.0,1400000000000.0002,steady state
31536000000000.0,5.029773478923017e-08,4.003260525860846e-05,1.8686771508805194e-14,0.012541856310584755,2810650944163.881,478832614853559.1,300.0,1400000000000.0002,steady state
31536000000000.0,6.138263354991831e-08,1.8100364550059176e-05,3.219240847680079e-14,0.02178232796711926,2479435634046.7,349404729553052.44,310.0,1400000000000.0002,steady state
31536000000000.0,7.402558723548016e-08,9.395590009879084e-06,4.73546200020843e-14,0.03594192059741227,2446840273520.1973,128530365328414.33,320.0,1400000000000.0002,steady state
31536000000000.0,9.329991166435705e-08,4.637937333292111e-06,6.657172299694677e-14,0.05625207463091347,3309568274488.9546,4101849187412.171,330.0,1400000000000.0002,steady state
31536000000000.0,0.0043259181951441905,8.320003302382913e-08,2.011207722072269e-12,0.08331094486775657,5.623866755101716e+16,-1.2963674279215189e-52,340.0,1400000000000.0002,steady state
31536000000000.0,0.006985461428130394,7.167050059023198e-08,1.845507948979678e-12,0.11638544114737794,4.197233425062213e+16,-3.2831373051196177e-52,350.0,1400000000000.0002,steady state
31536000000000.0,4.994027257243248e-08,0.0001932474670582497,7.796922053517503e-15,0.000276226784732381,7503894350917.871,16709302252748.277,250.0,1450000000000.0005,steady state
31536000000000.0,4.730494442181406e-08,0.00019466859045025033,6.780646186399953e-15,0.0007086725577343704,4463444683338.545,74797405952114.7,260.0,1450000000000.0005,steady state
31536000000000.0,4.641231024644705e-08,0.00013959976582876072,8.599873475230432e-15,0.0016955805409837037,3294799126065.815,175234315174083.66,270.0,1450000000000.0005,steady state
31536000000000.0,5.003806038613361e-08,6.20984632479862e-05,1.6766690396342832e-14,0.003567688593375814,3757246662058.9727,217329732821917.56,280.0,1450000000000.0005,steady state
31536000000000.0,4.4496416187647646e-08,0.00011115272639265375,8.566164755921442e-15,0.006862307313847834,1920810366609.7388,454744897196434.5,290.0,1450000000000.0005,steady state
31536000000000.0,5.4247966391193286e-08,3.8455298129354554e-05,1.968727816369064e-14,0.01254185743401695,2966139558205.352,468747379850292.6,300.0,1450000000000.0005,steady state
31536000000000.0,6.671639624063451e-08,1.7706278696666452e-05,3.312923888857574e-14,0.02178232850789083,2619100336426.815,334386768642689.94,310.0,1450000000000.0005,steady state
31536000000000.0,8.181961430783486e-08,8.98980656160778e-06,4.901970162042913e-14,0.0359419212659544,2638519066481.496,103449477809599.88,320.0,1450000000000.0005,steady state
31536000000000.0,0.002658292800234528,2.4885860897005887e-07,3.885289211555012e-13,0.05625261294882225,2.2168922295824896e+17,6.752138670073748e-53,330.0,1450000000000.0005,steady state
31536000000000.0,0.005101954232616196,9.21485442242947e-08,1.7340537967789234e-12,0.08331116807110185,6.673519448536755e+16,-1.5037903423656001e-52,340.0,1450000000000.0005,steady state
31536000000000.0,0.007708457272480082,7.845694620306441e-08,1.6309065361892188e-12,0.11638572336197672,4.52745707574486e+16,3.2912250249866947e-52,350.0,1450000000000.0005,steady state
31536000000000.0,5.306292559447486e-08,0.00017529009498935317,8.957337447847388e-15,0.00027622712187536357,8042563592316.3,9590480743845.06,250.0,1500000000000.0005,steady state
